Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
29844235,Vi,Kim Thúy,"Thúy, Kim",,"=""2764811039""","=""9782764811030""",0,3.73,Libre Expression,Paperback,144,2016,2016,,2021/01/30,currently-reading,currently-reading (#20),currently-reading,,,,1,,,0,,,,,
219563,"Shabanu: Daughter of the Wind (Shabanu, #1)",Suzanne Fisher Staples,"Staples, Suzanne Fisher",,"=""0440238560""","=""9780440238560""",0,3.77,Laurel Leaf Library,Paperback,240,2003,1989,2010/01/01,2020/11/23,"south-asian, fiction","south-asian (#33), fiction (#202)",read,,,,1,,,0,,,,,
157307,A Gun for Sale,Graham Greene,"Greene, Graham",Samuel Hynes,"=""014303930X""","=""9780143039303""",0,3.64,Penguin Classics,Paperback,184,2005,1936,2014/05/01,2020/11/23,"mystery, fiction","mystery (#10), fiction (#201)",read,,,,1,,,0,,,,,
38709,"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",김영선,"=""0439244196""","=""9780439244190""",0,3.97,Scholastic,Paperback,233,2000,1998,2009/11/01,2020/11/22,"fiction, classics","fiction (#200), classics (#30)",read,,,,1,,,0,,,,,
1102116,Half of a Yellow Sun,CN ADICHIE,"ADICHIE, CN",,"=""""","=""""",0,4.32,Anchor Books,Paperback,541,2007,2006,2011/04/01,2020/11/22,fiction,fiction (#199),read,,,,1,,,0,,,,,
41044096,Island of the Blue Dolphins,Scott O'Dell,"O'Dell, Scott",,"=""""","=""""",0,3.84,HMH Books for Young Readers,Kindle Edition,194,2010,1960,2007/06/01,2020/11/23,fiction,fiction (#198),read,,,,1,,,0,,,,,
2865,Girl with a Pearl Earring,Tracy Chevalier,"Chevalier, Tracy",,"=""0452287022""","=""9780452287020""",0,3.90,Plume/Penguin,Paperback,233,2005,1999,2007/08/01,2020/11/22,"classics, fiction","classics (#29), fiction (#197)",read,,,,1,,,0,,,,,
1345672,The Mind At Night: The New Science Of How And Why We Dream,Andrea Rock,"Rock, Andrea",,"=""0738207551""","=""9780738207551""",0,3.97,Basic Books,Hardcover,224,2004,2004,,2021/01/15,"blinked, dreams, next, to-read","blinked (#6), dreams (#12), next (#5), to-read (#369)",to-read,,,,1,,,0,,,,,
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",0,3.96,Saga Press,Kindle Edition,209,2019,2019,,2021/01/15,"science-fiction, next, fiction, to-read","science-fiction (#27), next (#6), fiction (#192), to-read (#368)",to-read,,,,1,,,0,,,,,
25246816,Database of Dreams: Forgotten Archive of How to Be Human,Rebecca Lemov,"Lemov, Rebecca",,"=""0300209525""","=""9780300209525""",0,3.53,Yale University Press,Hardcover,384,2015,2015,,2020/12/18,"science, nonfiction, next, to-read","science (#40), nonfiction (#184), next (#3), to-read (#366)",to-read,,,,1,,,0,,,,,
