Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
56159536,The Drunkard: A Novel by Liu Yichang (Hong Kong Literature),Yichang Liu,"Liu, Yichang","Nick Hordern, Charlotte Chun-lam Yiu","=""""","=""""",0,0.0,,Kindle Edition,,2020,,,2021/02/03,to-read,to-read (#760),to-read,,,,0,,,0,,,,,
4347843,Desert Plants: Conversations With 23 American Musicians,Walter Zimmermann,"Zimmermann, Walter",,"=""0889850097""","=""9780889850095""",5,4.67,,,,,,2021/02/02,2021/02/02,,,read,"This collection of interviews rambles a bit, where a more conventional book might put context and prefer concise sketches of these composers in question - but, in my opinion, this collection works because it allows these composers and free-thinkers to elaborate, on their own terms, the conditions and qualifications of their work in such a way that defy easy categorization. Even the ridiculous money-scrounging episode of La Monte Young's was contributed with permission - as is the wealth of excerpted scores and letters reprinted here. This is a true wealth and document of its times, and any aspiring artist/composer/figure fascinated by the avant-garde collective in America (and Toronto!) will find this essential reading.",,,1,,,0,,,,,
741235,Mein Kampf,Adolf Hitler,"Hitler, Adolf","Ralph Manheim, Abraham Foxman","=""0395925037""","=""9780395925034""",0,3.18,Mariner Books,Paperback,694,1999,1925,,2021/01/08,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
460006,Paradiso,José Lezama Lima,"Lima, José Lezama",Gregory Rabassa,"=""156478228X""","=""9781564782281""",0,4.12,Dalkey Archive Press,Paperback,466,2000,1966,,2021/01/19,to-read,to-read (#759),to-read,,,,0,,,0,,,,,
5174,Fall on Your Knees,Ann-Marie MacDonald,"MacDonald, Ann-Marie",,"=""0743466527""","=""9780743466523""",0,3.96,Pocket Books,Mass Market Paperback,672,2002,1996,,2021/01/19,to-read,to-read (#758),to-read,,,,0,,,0,,,,,
22807879,Musclebound Mario,Kevin L Donihe,"Donihe, Kevin L",,"=""1621051544""","=""9781621051541""",0,3.65,Eraserhead Press,Paperback,150,2014,2014,,2021/01/11,to-read,to-read (#757),to-read,,,,0,,,0,,,,,
43881726,"Boomerangs, aerodynamics and motion",Felix Hess,"Hess, Felix",,"=""""","=""""",0,0.0,,Paperback,555,,,,2021/01/10,to-read,to-read (#756),to-read,,,,0,,,0,,,,,
1082582,Blue,Benjamin Zucker,"Zucker, Benjamin",,"=""1585670006""","=""9781585670000""",0,4.10,Harry N. Abrams,Hardcover,224,2000,2000,,2021/01/09,to-read,to-read (#755),to-read,,,,0,,,0,,,,,
28495,Sculpting in Time,Andrei Tarkovsky,"Tarkovsky, Andrei",Kitty Hunter-Blair,"=""0292776241""","=""9780292776241""",4,4.52,University of Texas Press,Paperback,254,1989,1984,2021/01/07,2020/12/22,,,read,"This is a wonderful distillation of impulse-methodology that Tarkovsky has gifted us, and one replete with anecdotes on his own creative choices; his primer, because it is so wide-encompassing, can stretch further beyond the craft of filmmaking, but is first and foremost dedicated thoroughly to its construction as a summation of the being. <br/><br/>I also hate how this edition has been formatted, unfortunately - it's hard to distinguish without reading original copies, but the insertion of Arseny Tarkovsky's poems in tandem with Andrey's observations, in the presentation here, interrupt the latter by their inclusion in the middle of a sentence, rather than act as complementary to the artistry provided (as I suspect was intended). <br/><br/>What ensues is a cacophony of text and image that serve to distract and impede the observations Andrey held to their absolute zenith.",,,1,,,0,,,,,
341930,The Cipher,Kathe Koja,"Koja, Kathe",,"=""0440207827""","=""9780440207825""",0,3.55,Dell,Paperback,356,1991,1991,,2020/12/31,to-read,to-read (#754),to-read,,,,0,,,0,,,,,
765172,Cane,Jean Toomer,"Toomer, Jean",,"=""0871401517""","=""9780871401519""",0,3.87,Liveright,Paperback,144,1993,1923,,2020/12/17,to-read,to-read (#753),to-read,,,,0,,,0,,,,,
269589,The Cantos,Ezra Pound,"Pound, Ezra",,"=""0811213269""","=""9780811213264""",0,3.93,New Directions,Paperback,824,1996,1970,,2020/12/17,to-read,to-read (#752),to-read,,,,0,,,0,,,,,
51506,Wittgenstein's Mistress,David Markson,"Markson, David","Steven Moore, David Foster Wallace","=""1564782115""","=""9781564782113""",0,3.97,Dalkey Archive Press,Paperback,279,1988,1988,,2020/12/17,to-read,to-read (#751),to-read,,,,0,,,0,,,,,
46180,Julio Cortázar: Rayuela (Critical Guides to Spanish Texts),Robert Brody,"Brody, Robert",,"=""0729300145""","=""9780729300148""",0,4.40,Foyles,Paperback,85,1976,1976,,2020/12/17,to-read,to-read (#750),to-read,,,,0,,,0,,,,,
54710525,Translation is a Mode=Translation is an Anti-neocolonial Mode,Don Mee Choi,"Choi, Don Mee",,"=""193702797X""","=""9781937027971""",0,4.82,,Paperback,,2020,2020,,2020/12/17,to-read,to-read (#749),to-read,,,,0,,,0,,,,,
52536327,Selected Poems,Denise Riley,"Riley, Denise",,"=""1529017122""","=""9781529017120""",4,3.86,Picador,paperback,160,2019,2000,2020/11/13,2020/11/07,,,read,"Good overview, but not a fan of the organization of poems. Say Something Back is also a bit of an outlier here without Time Regained, Without Its Flow.",,,1,,,0,,,,,
23258402,Poems: Book One of Our Trakl,Georg Trakl,"Trakl, Georg",,"=""0857422464""","=""9780857422460""",4,4.48,Seagull Books,Hardcover,120,2015,2015,,2020/12/13,,,read,"Sing a song of spiders wrinkled<br/>with lepers yelp blue bruised skin hues<br/>and a touch of fruit stained partly sunny<br/>now o! - a chance of God's absence<br/><br/>the rot had not yet set in, the hope still faint.<br/>He gives and gives now to his successors,<br/>and his mud stained voice remains.",,,1,,,0,,,,,
30268629,"The Limits of Fabrication: Materials Science, Materialist Poetics",Nathan Brown,"Brown, Nathan",,"=""0823272990""","=""9780823272990""",4,3.67,American Literatures Initiative,Hardcover,312,2017,,2020/12/13,2019/04/13,,,read,"A genuinely exemplary examination of objectivism vs objectism, with an exploration of Christian Bök and Caroline Bergvall, to deconstruction of poetics through scientific language in Shanxing Wang's ""Mad Science in Imperial City."" My reading made it hard to understand the language and logic in the first two sections of this book, but overall it was extremely investing.",,,1,,,0,,,,,
25776683,Poems: New and Selected,Ron Rash,"Rash, Ron",,"=""0062435531""","=""9780062435538""",0,4.25,Ecco,ebook,192,2016,2016,,2020/12/12,to-read,to-read (#748),to-read,,,,0,,,0,,,,,
18617694,Darktown Follies: Poems,Amaud Jamaul Johnson,"Johnson, Amaud Jamaul",,"=""1936797399""","=""9781936797394""",0,4.03,Tupelo Press,Paperback,70,2013,2013,,2020/12/12,to-read,to-read (#747),to-read,,,,0,,,0,,,,,
28190854,"The Necropastoral: Poetry, Media, Occults (Poets On Poetry)",Joyelle McSweeney,"McSweeney, Joyelle",,"=""""","=""""",0,4.40,University of Michigan Press,Kindle Edition,199,2014,2014,,2020/12/06,to-read,to-read (#746),to-read,,,,0,,,0,,,,,
51819851,DMZ Colony,Don Mee Choi,"Choi, Don Mee",,"=""1940696968""","=""9781940696966""",0,4.42,Wave Books,Hardcover,128,2020,2020,,2020/12/06,to-read,to-read (#745),to-read,,,,0,,,0,,,,,
34008649,Amygdalatropolis,B.R. Yeager,"Yeager, B.R.",Edia Connole,"=""1537789112""","=""9781537789118""",0,4.32,Schism Press,Paperback,200,2017,2017,,2020/12/06,to-read,to-read (#744),to-read,,,,0,,,0,,,,,
608736,Deep Listening: A Composer's Sound Practice,Pauline Oliveros,"Oliveros, Pauline",,"=""0595343651""","=""9780595343652""",0,3.98,iUniverse,Paperback,128,2005,2005,,2020/12/03,to-read,to-read (#743),to-read,,,,0,,,0,,,,,
158312,The Mysticism of Sound and Music,Hazrat Inayat Khan,"Khan, Hazrat Inayat",,"=""1570622310""","=""9781570622311""",0,4.43,Shambhala,Paperback,322,1996,1911,,2020/12/03,to-read,to-read (#742),to-read,,,,0,,,0,,,,,
